transaction_id,merchant_id,user_id,card_number,transaction_date,transaction_amount,device_id,has_cbk
21320398,29744,97051,434505******9116,2019-12-01T23:16:32.812632,374.56,285475,FALSE
21320399,92895,2708,444456******4210,2019-12-01T22:45:37.873639,734.87,497105,TRUE
21320400,47759,14777,425850******7024,2019-12-01T22:22:43.021495,760.36,,FALSE
21320401,68657,69758,464296******3991,2019-12-01T21:59:19.797129,2556.13,,TRUE
21320402,54075,64367,650487******6116,2019-12-01T21:30:53.347051,55.36,860232,FALSE
21320403,59566,40759,516292******8220,2019-12-01T21:25:53.374213,60.49,192705,FALSE
21320404,20917,25661,650485******9310,2019-12-01T21:25:19.532243,318.37,760932,FALSE
21320405,56107,81152,650516******9201,2019-12-01T21:24:05.608374,188.68,486,TRUE
21320406,56107,81152,650516******9201,2019-12-01T21:13:21.529999,352.77,486,TRUE
21320407,56107,81152,650516******9201,2019-12-01T21:04:55.066909,345.68,486,TRUE
21320408,36049,90169,470598******5710,2019-12-01T20:48:10.921857,209.05,34672,FALSE
21320409,32954,6,428267******9019,2019-12-01T20:44:48.109011,443.90,757451,FALSE
21320410,22918,25484,544731******2063,2019-12-01T20:42:48.072667,498.32,152156,FALSE
21320411,56107,81152,650516******7004,2019-12-01T20:36:55.091278,32.86,486,TRUE
21320412,54,39024,541465******7050,2019-12-01T20:29:10.619095,471.66,727482,FALSE
21320413,56107,81669,530033******7110,2019-12-01T20:28:58.300822,31.94,639245,FALSE
21320414,81316,79874,230744******1389,2019-12-01T20:18:33.089817,539.91,737369,FALSE
21320415,10016,76014,530780******1598,2019-12-01T20:07:06.538570,243.18,305194,FALSE
21320416,97583,6434,498401******3796,2019-12-01T19:56:26.207496,396.84,,FALSE
21320417,94325,89366,406669******3532,2019-12-01T19:56:11.691107,527.13,674576,FALSE
21320418,86777,40302,498423******5469,2019-12-01T19:48:37.168884,902.87,471506,FALSE
21320419,3788,18009,550209******5149,2019-12-01T19:44:40.414039,296.27,,FALSE
21320420,58185,47303,412793******3067,2019-12-01T19:36:09.267065,1126.56,381052,FALSE
21320421,23451,41027,409603******3751,2019-12-01T19:35:36.692019,221.63,139118,FALSE
21320422,44519,6714,535016******1388,2019-12-01T19:34:54.468179,20.32,397162,FALSE
21320423,30180,7961,606282******5629,2019-12-01T19:31:34.252192,2022.55,686252,FALSE
21320424,53816,5541,606282******3381,2019-12-01T19:31:20.047571,2597.51,656429,TRUE
21320425,31644,7348,650521******8016,2019-12-01T19:29:43.533565,701.18,946289,FALSE
21320426,11470,5541,606282******3381,2019-12-01T19:26:01.352512,2511.43,656429,TRUE
21320427,20498,184,467090******6410,2019-12-01T19:23:45.202875,223.63,157031,FALSE
